m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
46,46000000,8,2,0,4,3,1.4623979979,29,0,0,0,0,25
247.505032,247505032,8,5,1,11,6,2.6106601631,408,1,1,1,1,48
247.505032,247505032,8,4,0,5,7,2.5820633629,382,3,0,0,0,38
0,0,0,1,0,11,0,0,0,0,0,0,0,25
6,6000000,7,5,0,7,1,1.531478917,34,1,0,0,0,47
30,30000000,7,1,0,1,2,1.3979400087,25,0,0,0,0,25
30,30000000,7,1,0,1,2,1.3979400087,25,0,0,0,0,25
12.5,12500000,7,2,0,7,2,0.3010299957,2,0,1,0,0,25
12.5,12500000,7,1,0,2,2,0.3010299957,2,0,0,0,0,37
6.7,6700000,7,1,0,2,1,1.2304489214,17,0,0,0,0,25
6.7,6700000,7,1,1,5,1,1.2304489214,17,0,0,1,0,25
3.9,3900000,7,1,0,2,0,1.3979400087,25,0,0,0,0,25
168.899155,168899155,8,3,1,8,5,0.6020599913,4,0,0,0,0,25
0,0,0,1,0,6,0,0,0,0,0,1,0,25
18,18000000,7,1,0,1,2,0.7781512504,6,0,0,0,0,25
18,18000000,7,1,0,2,2,0.7781512504,6,0,0,0,0,47
3.5,3500000,7,1,0,3,1,1.079181246,12,0,1,0,1,25
3.5,3500000,7,2,0,4,1,1.079181246,12,0,0,0,0,25
43,43000000,8,3,1,19,0,0.903089987,8,12,0,0,0,25
0,0,0,1,0,4,0,0,0,0,0,1,0,25
53.400191,53400191,8,2,0,3,7,0.6020599913,4,5,0,1,0,30
53.400191,53400191,8,1,0,3,5,0.4771212547,3,0,0,0,0,25
0,0,0,1,1,6,1,1.2041199827,16,1,1,0,0,25
0,0,0,1,1,9,0,1.2552725051,18,20,0,0,0,36
56,56000000,8,1,1,4,0,2.2380461031,173,18,0,0,0,25
0.775,775000,6,3,1,15,1,1.3424226808,22,3,0,1,1,37
0,0,0,1,1,17,1,1.278753601,19,0,0,0,0,25
0,0,0,1,0,2,1,0,1,0,0,0,0,25
0.05,50000,5,1,0,1,1,1,10,0,0,0,0,25
22.9,22900000,7,4,0,14,2,1.3424226808,22,0,1,0,0,25
0.552,552000,6,1,1,12,1,0.3010299957,2,23,0,1,0,25
37.1,37100000,8,3,1,7,2,1.4771212547,30,1,1,0,1,25
43.8,43800000,8,4,1,21,0,0.84509804,7,3,0,1,0,25
0,0,0,2,1,3,0,0,1,0,0,0,0,25
0,0,0,1,0,3,0,0,0,0,0,0,0,25
99.975336,99975336,8,3,0,3,1,1.7160033436,52,0,1,0,1,25
0,0,0,2,1,10,0,0.6020599913,4,19,0,0,0,25
5,5000000,7,1,0,2,3,1.7558748557,57,0,0,0,0,25
5,5000000,7,1,0,2,3,1.7558748557,57,1,0,0,0,25
5.585,5585000,7,2,0,3,4,1.7558748557,57,0,0,0,0,25
0.75,750000,6,2,1,18,0,1.3222192947,21,7,0,1,0,25
0,0,0,3,0,3,1,0,1,0,0,1,0,25
0,0,0,3,1,12,0,0,1,0,1,0,0,25
4.1,4100000,7,3,1,7,1,1.414973348,26,9,0,0,0,25
4.1,4100000,7,1,0,3,1,1.278753601,19,0,1,0,1,32
4.1,4100000,7,2,0,6,1,1.278753601,19,0,0,0,0,39
0,0,0,1,1,2,0,0,1,0,0,0,0,25
0,0,0,1,0,1,0,0,0,0,0,0,0,25
0,0,0,1,1,7,0,2.079181246,120,0,0,0,0,25
86.735191,86735191,8,5,1,6,2,1.414973348,26,0,0,0,0,51
0,0,0,1,1,25,0,1.3424226808,22,2,1,1,0,25
0,0,0,1,1,8,0,1.3424226808,22,0,1,1,0,25
0,0,0,1,1,21,0,1.3424226808,22,0,1,0,1,25
0,0,0,2,0,4,0,0.3010299957,2,0,1,0,1,25
2,2000000,6,1,0,1,1,0.7781512504,6,0,0,0,0,25
2,2000000,6,1,0,1,1,0.7781512504,6,0,0,0,0,25
15,15000000,7,2,0,3,4,1.8750612634,75,0,0,0,0,25
0,0,0,2,1,31,0,0,0,0,1,0,1,25
11.5,11500000,7,1,1,5,0,0.3010299957,2,2,1,0,0,25
9.8,9800000,7,2,1,14,0,0,1,0,0,0,0,44
57,57000000,8,1,1,2,1,0.3010299957,2,0,1,0,0,25
4.115,4115000,7,2,0,2,3,1,10,0,0,0,0,25
203.5,203500000,8,1,0,2,4,1.7403626895,55,0,0,1,0,25
203.5,203500000,8,1,0,1,4,1.7403626895,55,0,0,0,0,25
203.5,203500000,8,1,0,1,4,1.7403626895,55,0,0,0,0,25
203.5,203500000,8,1,0,1,4,1.7403626895,55,0,0,0,0,25
203.5,203500000,8,1,0,1,4,1.7403626895,55,0,0,0,0,25
2.5,2500000,6,3,0,8,1,0.4771212547,3,0,1,0,0,36
60.9,60900000,8,1,0,1,1,1.6720978579,47,0,1,0,0,25
60.9,60900000,8,1,1,2,1,1.6720978579,47,0,1,0,0,25
6.45,6450000,7,3,1,7,0,0,1,2,0,0,0,25
63,63000000,8,2,1,16,0,0.6020599913,4,0,0,0,0,25
0,0,0,1,0,1,1,0.4771212547,3,0,0,0,0,25
0,0,0,1,0,10,0,0,0,0,0,0,0,25
0,0,0,1,0,4,0,0,0,0,0,0,0,25
12.282455,12282455,7,4,1,19,0,0.7781512504,6,0,1,0,0,25
0,0,0,1,1,11,0,0,0,0,0,0,0,25
0,0,0,1,1,4,0,1.2041199827,16,1,0,0,0,25
0,0,0,1,1,7,0,1.2041199827,16,0,0,0,0,25
8,8000000,7,2,1,5,0,1.5440680444,35,0,1,0,0,25
8.9,8900000,7,4,1,5,0,1.5563025008,36,4,1,1,0,25
8,8000000,7,2,1,8,0,1.5440680444,35,3,1,1,1,44
26,26000000,7,1,1,8,1,1.0413926852,11,0,0,0,1,25
0,0,0,2,1,10,0,1.6232492904,42,0,1,0,0,25
13.77,13770000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
13.77,13770000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
13.77,13770000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
13.77,13770000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
0,0,0,1,0,1,0,0,0,0,0,0,0,25
1,1000000,6,2,1,11,1,1,10,7,0,0,0,25
1,1000000,6,1,0,6,1,1,10,0,0,0,0,25
1,1000000,6,1,0,7,1,1,10,0,0,0,0,25
35.513,35513000,8,4,1,11,5,1.3010299957,20,0,0,0,0,25
56.3,56300000,8,1,0,1,5,2.1583624921,144,0,0,0,0,25
5,5000000,7,1,1,6,6,0.84509804,7,0,0,0,0,25
46,46000000,8,1,0,1,1,1.2304489214,17,0,0,0,0,25
15.5,15500000,7,1,1,2,1,1,10,0,0,0,0,25
15.5,15500000,7,1,0,1,1,1,10,0,0,0,0,25
0,0,0,1,1,7,0,0,0,0,0,0,0,25
0,0,0,3,1,12,0,0,0,9,0,0,0,61
12.743716,12743716,7,2,1,9,1,1.1760912591,15,1,1,0,0,36
7,7000000,7,1,0,2,2,0.6989700043,5,0,0,0,1,25
0,0,0,1,1,10,0,0,0,17,0,1,0,25
12.931223,12931223,7,12,1,16,0,0.6020599913,4,11,0,0,0,25
40.4,40400000,8,1,0,1,0,1.361727836,23,0,0,0,0,25
7.5,7500000,7,1,0,2,2,0.84509804,7,0,0,0,0,25
7.5,7500000,7,1,0,1,2,0.84509804,7,0,0,0,0,25
7.5,7500000,7,1,0,2,2,0.84509804,7,0,0,0,0,25
70,70000000,8,1,0,2,2,2.0043213738,101,1,1,0,0,25
70,70000000,8,1,1,4,2,2.0043213738,101,0,0,0,0,35
70,70000000,8,1,1,3,2,2.0043213738,101,2,0,0,0,25
199.3,199300000,8,1,0,3,5,1.7323937598,54,2,0,0,0,25
199.3,199300000,8,1,1,3,5,1.7323937598,54,0,0,0,0,25
206.121421,206121421,8,1,1,2,5,2.4668676204,293,0,1,0,0,25
206.121421,206121421,8,1,0,1,5,2.4668676204,293,0,0,0,0,25
0,0,0,1,1,6,0,0.7781512504,6,0,0,0,0,25
0,0,0,1,1,8,0,0.7781512504,6,0,1,0,1,25
21.921435,21921435,7,2,1,4,1,1.2552725051,18,0,1,1,0,25
7,7000000,7,1,0,1,1,1.2552725051,18,0,0,0,0,25
0,0,0,3,0,5,0,0,0,1,0,0,0,25
1.6,1600000,6,1,0,1,1,0.6989700043,5,0,0,0,0,25
11.610454,11610454,7,2,0,2,1,0.6020599913,4,0,1,0,0,25
0,0,0,1,1,6,0,1.7242758696,53,0,0,1,0,30
0,0,0,1,0,3,0,0,0,0,0,1,0,25
10,10000000,7,1,0,4,0,0,0,0,0,0,0,25
0,0,0,1,0,1,1,0.6020599913,4,0,0,0,0,25
0.810801,810801,6,3,1,4,1,0.6020599913,4,1,0,0,0,25
0,0,0,1,0,1,1,0.6020599913,4,0,0,0,0,25
35.05,35050000,8,1,0,1,1,0,0,0,0,0,0,25
1.25,1250000,6,1,0,1,1,1.1461280357,14,0,0,0,0,25
1.25,1250000,6,1,0,1,1,1.1461280357,14,0,0,0,0,25
1.25,1250000,6,1,0,1,1,1.1461280357,14,0,0,0,0,25
10,10000000,7,1,0,5,1,0,1,0,1,1,0,25
0,0,0,2,1,9,0,0,0,0,1,1,1,25
63.500002,63500002,8,1,0,1,6,0.903089987,8,0,0,0,0,25
19.3,19300000,7,3,1,14,4,1.8573324964,72,27,1,0,1,25
